146.717	146.717	M98B4
147.092	147.092	M99B1
147.467	147.467	M99B2
147.842	147.842	M99B3
148.217	148.217	M99B4
148.592	148.592	M100B1
148.967	148.967	M100B2
149.342	149.342	M100B3
149.717	149.717	M100B4
150.092	150.092	M101B1
150.467	150.467	M101B2
150.842	150.842	M101B3
151.217	151.217	M101B4
151.592	151.592	M102B1
151.967	151.967	M102B2
152.342	152.342	M102B3
152.717	152.717	M102B4
153.092	153.092	M103B1
153.467	153.467	M103B2
153.842	153.842	M103B3
154.217	154.217	M103B4
154.592	154.592	M104B1
154.967	154.967	M104B2
155.342	155.342	M104B3
155.717	155.717	M104B4
156.092	156.092	M105B1
156.467	156.467	M105B2
156.842	156.842	M105B3
157.217	157.217	M105B4
157.592	157.592	M106B1
157.967	157.967	M106B2
158.342	158.342	M106B3
158.717	158.717	M106B4
159.092	159.092	M107B1
159.467	159.467	M107B2
159.842	159.842	M107B3
160.217	160.217	M107B4
160.592	160.592	M108B1
160.967	160.967	M108B2
161.342	161.342	M108B3
161.717	161.717	M108B4
162.092	162.092	M109B1
162.467	162.467	M109B2
162.842	162.842	M109B3
163.217	163.217	M109B4
163.592	163.592	M110B1
163.967	163.967	M110B2
164.342	164.342	M110B3
164.717	164.717	M110B4
165.092	165.092	M111B1
165.467	165.467	M111B2
165.842	165.842	M111B3
166.217	166.217	M111B4
166.592	166.592	M112B1
166.967	166.967	M112B2
167.342	167.342	M112B3
167.717	167.717	M112B4
168.092	168.092	M113B1
168.467	168.467	M113B2
168.842	168.842	M113B3
169.217	169.217	M113B4
169.592	169.592	M114B1
169.967	169.967	M114B2
170.342	170.342	M114B3
170.717	170.717	M114B4
171.092	171.092	M115B1
171.467	171.467	M115B2
171.842	171.842	M115B3
172.217	172.217	M115B4
172.592	172.592	M116B1
172.967	172.967	M116B2
173.342	173.342	M116B3
173.717	173.717	M116B4
174.092	174.092	M117B1
174.467	174.467	M117B2
174.842	174.842	M117B3
175.217	175.217	M117B4
175.592	175.592	M118B1
175.967	175.967	M118B2
176.342	176.342	M118B3
176.717	176.717	M118B4
177.092	177.092	M119B1
177.467	177.467	M119B2
177.842	177.842	M119B3
178.217	178.217	M119B4
178.592	178.592	M120B1
178.967	178.967	M120B2
179.342	179.342	M120B3
179.717	179.717	M120B4
180.092	180.092	M121B1
180.467	180.467	M121B2
180.842	180.842	M121B3
181.217	181.217	M121B4
181.592	181.592	M122B1
181.967	181.967	M122B2
182.342	182.342	M122B3
182.717	182.717	M122B4
183.092	183.092	M123B1
183.467	183.467	M123B2
183.842	183.842	M123B3
184.217	184.217	M123B4
184.592	184.592	M124B1
184.967	184.967	M124B2
185.342	185.342	M124B3
185.717	185.717	M124B4
186.092	186.092	M125B1
186.467	186.467	M125B2
186.842	186.842	M125B3
187.217	187.217	M125B4
187.592	187.592	M126B1
187.967	187.967	M126B2
188.342	188.342	M126B3
188.717	188.717	M126B4
189.092	189.092	M127B1
189.467	189.467	M127B2
189.842	189.842	M127B3
190.217	190.217	M127B4
190.592	190.592	M128B1
190.967	190.967	M128B2
191.342	191.342	M128B3
191.717	191.717	M128B4
192.092	192.092	M129B1
192.467	192.467	M129B2
192.842	192.842	M129B3
193.217	193.217	M129B4
193.592	193.592	M130B1
193.967	193.967	M130B2
194.342	194.342	M130B3
194.717	194.717	M130B4
195.092	195.092	M131B1
195.467	195.467	M131B2
195.842	195.842	M131B3
196.217	196.217	M131B4
196.592	196.592	M132B1
196.967	196.967	M132B2
197.342	197.342	M132B3
197.717	197.717	M132B4
198.092	198.092	M133B1
198.467	198.467	M133B2
198.842	198.842	M133B3
199.217	199.217	M133B4
199.592	199.592	M134B1
199.967	199.967	M134B2
200.342	200.342	M134B3
200.717	200.717	M134B4
201.092	201.092	M135B1
201.467	201.467	M135B2
201.842	201.842	M135B3
202.217	202.217	M135B4
202.592	202.592	M136B1
202.967	202.967	M136B2
203.342	203.342	M136B3
203.717	203.717	M136B4
204.092	204.092	M137B1
204.467	204.467	M137B2
204.842	204.842	M137B3
205.217	205.217	M137B4
205.592	205.592	M138B1
205.967	205.967	M138B2
206.342	206.342	M138B3
206.717	206.717	M138B4
207.092	207.092	M139B1
207.467	207.467	M139B2
207.842	207.842	M139B3
208.217	208.217	M139B4
208.592	208.592	M140B1
208.967	208.967	M140B2
209.342	209.342	M140B3
209.717	209.717	M140B4
210.092	210.092	M141B1
210.467	210.467	M141B2
210.842	210.842	M141B3
211.217	211.217	M141B4
211.592	211.592	M142B1
211.967	211.967	M142B2
212.342	212.342	M142B3
212.717	212.717	M142B4
213.092	213.092	M143B1
213.467	213.467	M143B2
213.842	213.842	M143B3
214.217	214.217	M143B4
214.592	214.592	M144B1
214.967	214.967	M144B2
215.342	215.342	M144B3
215.717	215.717	M144B4
216.092	216.092	M145B1
216.467	216.467	M145B2
216.842	216.842	M145B3
217.217	217.217	M145B4
217.592	217.592	M146B1
217.967	217.967	M146B2
218.342	218.342	M146B3
218.717	218.717	M146B4
219.092	219.092	M147B1
219.467	219.467	M147B2
219.842	219.842	M147B3
220.217	220.217	M147B4
220.592	220.592	M148B1
220.967	220.967	M148B2
221.342	221.342	M148B3
221.717	221.717	M148B4
222.092	222.092	M149B1
222.467	222.467	M149B2
222.842	222.842	M149B3
223.217	223.217	M149B4
223.592	223.592	M150B1
223.967	223.967	M150B2
224.342	224.342	M150B3
224.717	224.717	M150B4
225.092	225.092	M151B1
225.467	225.467	M151B2
225.842	225.842	M151B3
226.217	226.217	M151B4
226.592	226.592	M152B1
226.967	226.967	M152B2
227.342	227.342	M152B3
227.717	227.717	M152B4
228.092	228.092	M153B1
228.467	228.467	M153B2
228.842	228.842	M153B3
229.217	229.217	M153B4
229.592	229.592	M154B1
229.967	229.967	M154B2
230.342	230.342	M154B3
230.717	230.717	M154B4
231.092	231.092	M155B1
231.467	231.467	M155B2
231.842	231.842	M155B3
232.217	232.217	M155B4
232.592	232.592	M156B1
232.967	232.967	M156B2
233.342	233.342	M156B3
233.717	233.717	M156B4
234.092	234.092	M157B1
